codigo;produto;quantidade;ref;preco
10621;BINGO DA BINGO - BLUEY;6;1251;39.9
4734;JOGO PAPA BOLINHA - ELEMENTOS DA NATUREZA - FROZEN II;0;1147;54.9
10622;PUZZLE PLAY 60 PECAS - LENTE MAGICA - BLUEY;1;1252;44.9
2687;DOUTOR (A) PET;0;1048;79.9
4735;QUEBRA CABE«A E JG MEM”RIA - RICKY ZOOM;0;1138;29.9
10623;JOGO LANCE LIVRE - NBA;4;1256;89.9
2688;SENHOR (A) DETETIVE;0;1049;69.9
4736;JOGO PAPA BOLINHA - PATRULHA CANINA;0;1137;54.9
10624;PUZZLE PLAY 200 PECAS - NBA;1;1258;54.9
2689;RODA PI√O;0;1051;49.9
4737;PUXA ESPINHO;0;1091;79.9
9857;BOLSINHA FASHION BIJU - L.O.L. SURPRISE;1;1196;99.9
10625;MONTA PALAVRAS ALFABETO - PATRULHA CANINA;0;1268;54.9
2690;ACERTE O ALVO - NERF;0;1058;39.9
4738;KIT LETRAS ALFABETO;0;840;29.9
9858;JOGO TIRA VARETAS - AVENGERS;0;1215;99.9
2691;MORDEDOR MEU PET AU AU;0;1071;12.9
9859;JOGO SPIDEY BALL;1;1218;99.9
2692;MORDEDOR MEU PET MIAU;0;1072;12.9
2693;TELEFONE SONORO GALINHA PINTADINHA MINI;2;1087;99.9
2694;FAZENDINHA DA GALINHA - GALINHA PINTADINHA MINI;4;1088;109.9
2695;CHOCALHO & MORDEDOR - BICHITOS;0;1092;19.9
2696;HELIC”PTERO - PEPPA PIG;0;1100;59.9
2697;ENCAIXE COR - PATRULHA CANINA;0;1103;69.9
7049;BONECO MICKEY;0;1175;44.9
2698;ELSA - FROZEN;3;947;149.9
7050;BONECA MINNIE;0;1176;44.9
2699;CASTELO CONGELANTE - FROZEN;0;962;99.9
7051;REL√?MPAGO MCQUEEN;0;1182;119.9
2700;DINO PAPA TUDO;1;972;99.9
7052;BATE REBATE - MINHOQUINHAS;0;1172;99.9
2701;HORA DO FAZ DE CONTA - BABY ALIVE - BOLSINHA DA MAM√E;0;987;49.9
7053;CAIXA DE BRINCADEIRAS;2;1135;109.9
1934;GALINHA PINTADINHA MINI MUSICAL;3;1044;129.9
2702;GEORGE - PEPPA PIG;6;998;59.9
7054;VOLANTE FOM FOM;2;1181;109.9
1935;FOFO BLOCOS BARCO PIRATA - 14PCS;0;1045;49.9
7055;PINOS M√ÅGICOS 500;0;939;129.9
1936;CASINHA DA VOVO - ENCAIXE AS FORMAS;6;1052;79.9
7056;DOUTOR (A) DOD√ìI MALETINHA;0;1116;64.9
17040;PLAYSET BLOCOS MAGICOS 40 PECAS TOY STORY;2;1305;169.9
1937;MORDEDOR & CHOCALHO GALINHA PINTADINHA MINI;0;1053;29.9
7057;PIC NIC MANIA - MARIA CLARA E JP;0;1157;79.9
17041;JOGO DE ARGOLAS BLUEY;0;1315;69.9
1938;ARCO E DARDOS - NERF;0;1057;69.9
7058;JOGO RANK NINJA - NARUTO SHIPPUDEN;0;1189;39.9
17042;JOGO MEMO PLAY DOS ROSA;3;1335;49.9
1939;JOGO TIRA VARETAS - PJ MASKS;0;1075;89.9
7059;JOGO BATALHA NINJA - NARUTO SHIPPUDEN;0;1190;64.9
17043;PUZZLE PROGRESSIVO GALINHA PINTADINHA 4. 6 E 8 PECAS;3;1344;39.9
1940;CONTROLE REMOTO;0;728;49.9
7060;PUZZLE PLAY 100 PCS - LENTE M√ÅGICA - NARUTO SHIPPUDEN;0;1192;39.9
17044;SPLASH MANIA SPIDER-MAN;4;1349;89.9
1941;FLORA - FADINHA DE ATIVIDADES;0;750;109.9
7061;JOGO TERREMOTO - MARIA CLARA E JP;2;1159;94.9
17045;JOGO TIRA VARETAS SPIDER-MAN;0;1350;99.9
1942;MINNIE CONTA HISTORIAS;2;856;149.9
7062;JOGO O CH√?O √? LAVA - MARIA CLARA E JP;0;1156;94.9
17046;DOUTOR(A) DODOI BLUEY;6;1352;99.9
1943;REINO DOS SONHOS - PRINCESAS;0;903;199.9
7063;JOGO TERREMOTO - DISNEY PIXAR;0;1173;99.9
17047;FOFO BLOCOS NAVIO PIRATA - 12 PECAS;0;1365;89.9
1944;MINHA BOLSINHA - PEPPA;3;937;89.9
1945;DR (A) DENTINHO;4;952;99.9
154;FOFO BLOCOS 25 PCS;0;1011;69.9
1946;PRINCESINHA SOFIA;0;981;54.9
1947;PEPPA PRINCESA - PEPPA PIG;5;997;59.9
1948;MC QUEEN COM ATIVIDADES;0;999;89.9
16284;BLOCOS MAGICOS VAN DO MICKEY;0;1321;119.9
16285;JOGO TERREMOTO - HOT WHEELS;3;1328;99.9
16286;JOGO TRIOMINOS ORIGINAL;5;1336;129.9
159;MORDEDOR & CHOCALHO - PEPPA 1029;0;1029;29.9
12192;FOFO BLOCOS FABULAS - OS TRES PORQUINHOS;2;1247;114.9
12193;FOFO BLOCOS FABULAS - CHAPEUZINHO VERMELHO;2;1248;114.9
12194;JOGO KAZAA - DRAGON BALL Z;0;1261;54.9
12195;PUZZLE PLAY 100 PECAS - LENTE MAGICA - DRAGON BALL Z;0;1262;49.9
16052;MORDEDOR LUVINHA DINO - VERDE;2;1236;39.9
16053;MORDEDOR LUVINHA DINO - ROSA;0;1242;39.9
16054;ARTS KIT DESENHO - HARRY POTTER;3;1267;69.9
16055;PLAYSET AVENTURA DINO E AMIGOS;3;1270;189.9
16056;PUZZLE PLAY 60 PECAS LENTE MAGICA PATRULHA CANINA;2;1274;49.9
16057;MOANA.;4;1300;149.9
16058;ARIEL.;6;1301;149.9
16059;BLOCOS MAGICOS BUZZ;1;1304;79.9
16060;BLOCOS MAGICOS MINNIE;0;1306;79.9
16061;PUZZLE PROGRESSIVO BLUEY 12. 20 E 30 PECAS;0;1317;47.9
16062;JOGO TIRA VARETAS DOS ROSA;0;1320;99.9
16063;PIC NIC NO PARQUE BARBIE;0;1322;79.9
16064;ARTS KIT DESENHO - BARBIE;2;1323;69.9
16065;JOGO AVALANCHE BARBIE;2;1324;99.9
3778;FONINHO SONORO - MINNIE;3;1061;109.9
16066;JOGO CHAVE MAGICA HOT WHEELS;5;1326;99.9
3779;BABY UNIC”RNIO;0;1090;89.9
16067;CESTA DE BASQUETE HOT WHEELS;3;1327;129.9
3780;PIPINELA - PATRULHA CANINA;0;1095;99.9
12740;JOGO WANTED - ONE PIECE;0;1227;79.9
16068;PUZZLE PLAY 100 PECAS DOS ROSA;0;1329;47.9
